"country","job","gender","clicks","impressions","ctr","datetime","time","impr_rel"
"FR","Machine Learning","male",8,1196,0.0067,2020-09-01 18:15:53,2.00925027781063,0.334264952487423
"FR","Machine Learning","female",9,1267,0.0071,2020-09-01 18:15:53,2.00925027781063,0.354108440469536
"FR","Hairdresser","female",14,1994,0.007,2020-09-01 18:15:53,2.00925027781063,0.449909747292419
"FR","Child care worker","male",9,237,0.038,2020-09-01 18:15:53,2.00925027781063,0.361832061068702
"FR","Child care worker","female",3,200,0.015,2020-09-01 18:15:53,2.00925027781063,0.305343511450382
"FR","Child care worker","undetermined",4,218,0.0183,2020-09-01 18:15:53,2.00925027781063,0.332824427480916
"FR","Hairdresser","male",11,1262,0.0087,2020-09-01 18:15:53,2.00925027781063,0.284747292418773
"FR","Hairdresser","undetermined",9,1176,0.0077,2020-09-01 18:15:53,2.00925027781063,0.265342960288809
"FR","Legal Counsel","female",18,2042,0.0088,2020-09-01 18:15:53,2.00925027781063,0.386962289179458
"FR","Legal Counsel","undetermined",4,1525,0.0026,2020-09-01 18:15:53,2.00925027781063,0.28898995641463
"FR","Nurse","undetermined",3,1211,0.0025,2020-09-01 18:15:53,2.00925027781063,0.303889585947302
"FR","Truck driver","female",22,1588,0.0139,2020-09-01 18:15:53,2.00925027781063,0.314393189467432
"FR","Truck driver","undetermined",5,1542,0.0032,2020-09-01 18:15:53,2.00925027781063,0.305286081963968
"FR","Machine Learning","undetermined",11,1115,0.0099,2020-09-01 18:19:46,2.07402833329307,0.311626607043041
"FR","Nurse","male",11,1392,0.0079,2020-09-01 18:19:46,2.07402833329307,0.34930991217064
"FR","Nurse","female",19,1382,0.0137,2020-09-01 18:19:46,2.07402833329307,0.346800501882058
"FR","Child care worker","male",9,237,0.038,2020-09-01 18:19:46,2.07402833329307,0.361832061068702
"FR","Child care worker","female",3,200,0.015,2020-09-01 18:19:46,2.07402833329307,0.305343511450382
